f_score,recall,accuracy,model,precision,mets,prompt,img,shots,ent_met_person,acc_met_person,ent_met_misceallonous,acc_met_misceallonous,ent_met_organization,acc_met_organization,ent_met_location,acc_met_location,ent_met_none,acc_met_none,f_score0_promptFalse,f_score0_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue
0.009174311926605505,0.005012531328320802,0.6,mplug-owl-llama-7b-ft,0.05405405405405406,2-397-646-35,1_prompt,False,5,157,1,54,0,72,0,123,1,674,646,,,,,,0.009174311926605505,
0.027149321266968326,0.015113350125944584,0.6018518518518519,mplug-owl-llama-7b-ft,0.13333333333333333,6-391-644-39,1_prompt,False,4,157,4,54,0,72,0,123,2,674,644,,,,,,0.027149321266968326,
0.009009009009009009,0.005012531328320802,0.5925925925925926,mplug-owl-llama-7b-ft,0.044444444444444446,2-397-638-43,1_prompt,False,3,157,1,54,0,72,0,123,1,674,638,,,,,,0.009009009009009009,
0.02197802197802198,0.012594458438287154,0.5879629629629629,mplug-owl-llama-7b-ft,0.08620689655172414,5-392-630-53,1_prompt,False,2,157,4,54,0,72,0,123,1,674,630,,,,,,0.02197802197802198,
0.060504201680672255,0.04825737265415549,0.4824074074074074,mplug-owl-llama-7b-ft,0.08108108108108109,18-355-503-204,1_prompt,False,1,157,11,54,0,72,0,123,7,674,503,,,,,,0.060504201680672255,
0.0670194003527337,0.05322128851540616,0.5101851851851852,mplug-owl-llama-7b-ft,0.09047619047619047,19-338-532-191,1_prompt,False,0,157,12,54,2,72,1,123,4,674,532,,,,,,0.0670194003527337,
0.4355828220858895,0.37866666666666665,0.6592592592592592,mplug-owl-llama-7b-ft,0.5126353790613718,142-233-570-135,1_prompt,True,5,157,42,54,7,72,24,123,69,674,570,,,,,,,0.4355828220858895
0.13135593220338984,0.07788944723618091,0.6203703703703703,mplug-owl-llama-7b-ft,0.4189189189189189,31-367-639-43,1_prompt,True,4,157,14,54,0,72,6,123,11,674,639,,,,,,,0.13135593220338984
0.27262569832402234,0.3885350318471338,0.3972222222222222,mplug-owl-llama-7b-ft,0.2099827882960413,122-192-307-459,1_prompt,True,3,157,59,54,4,72,22,123,37,674,307,,,,,,,0.27262569832402234
0.08385744234800839,0.05102040816326531,0.5953703703703703,mplug-owl-llama-7b-ft,0.23529411764705882,20-372-623-65,1_prompt,True,2,157,11,54,0,72,1,123,8,674,623,,,,,,,0.08385744234800839
0.2841823056300269,0.2849462365591398,0.5055555555555555,mplug-owl-llama-7b-ft,0.28342245989304815,106-266-440-268,1_prompt,True,1,157,57,54,2,72,8,123,39,674,440,,,,,,,0.2841823056300269
0.2942097026604069,0.2678062678062678,0.5824074074074074,mplug-owl-llama-7b-ft,0.3263888888888889,94-257-535-194,1_prompt,True,0,157,59,54,2,72,10,123,23,674,535,,,,,,,0.2942097026604069
