	False_0	False_1	False_2	False_3	False_4	False_5	False_6	False_7
0	0.10620458356623813	0.28380462724935734	0.2873831775700935	0.3109504132231405	0.29949238578680204	0.26172607879924953	0.2537764350453172	0.2818652849740933
1	NA	NA	NA	NA	NA	NA	NA	NA
2	NA	NA	NA	NA	NA	NA	NA	NA
3	NA	NA	NA	NA	NA	NA	NA	NA
4	NA	NA	NA	NA	NA	NA	NA	NA
