	False_0	False_1	False_2	False_3	False_4
0	0.2	0.17816813048933497	0.17816813048933497	0.17816813048933497	0.17816813048933497
1	NA	NA	NA	NA	NA
2	NA	NA	NA	NA	NA
3	NA	NA	NA	NA	NA
4	NA	NA	NA	NA	NA
