	False_0	False_1	False_2	False_3	False_4	False_5	False_6	False_7
0	0.10620458356623813	0.15384615384615383	0.23690773067331672	0.2001250781738587	0.24273072060682685	0.2812105926860025	0.3240568954854669	0.32301980198019803
1	NA	NA	NA	NA	NA	NA	NA	NA
2	NA	NA	NA	NA	NA	NA	NA	NA
3	NA	NA	NA	NA	NA	NA	NA	NA
4	NA	NA	NA	NA	NA	NA	NA	NA
