f_score,recall,accuracy,model,precision,mets,prompt,img,shots,ent_met_person0_promptTrue,acc_met_person0_promptTrue,ent_met_person1_promptTrue,acc_met_person1_promptTrue,ent_met_person2_promptTrue,acc_met_person2_promptTrue,ent_met_person3_promptTrue,acc_met_person3_promptTrue,ent_met_person4_promptTrue,acc_met_person4_promptTrue,ent_met_person0_promptFalse,acc_met_person0_promptFalse,ent_met_person1_promptFalse,acc_met_person1_promptFalse,ent_met_person2_promptFalse,acc_met_person2_promptFalse,ent_met_person3_promptFalse,acc_met_person3_promptFalse,ent_met_person4_promptFalse,acc_met_person4_promptFalse,ent_met_misceallonous0_promptTrue,acc_met_misceallonous0_promptTrue,ent_met_misceallonous1_promptTrue,acc_met_misceallonous1_promptTrue,ent_met_misceallonous2_promptTrue,acc_met_misceallonous2_promptTrue,ent_met_misceallonous3_promptTrue,acc_met_misceallonous3_promptTrue,ent_met_misceallonous4_promptTrue,acc_met_misceallonous4_promptTrue,ent_met_misceallonous0_promptFalse,acc_met_misceallonous0_promptFalse,ent_met_misceallonous1_promptFalse,acc_met_misceallonous1_promptFalse,ent_met_misceallonous2_promptFalse,acc_met_misceallonous2_promptFalse,ent_met_misceallonous3_promptFalse,acc_met_misceallonous3_promptFalse,ent_met_misceallonous4_promptFalse,acc_met_misceallonous4_promptFalse,ent_met_organization0_promptTrue,acc_met_organization0_promptTrue,ent_met_organization1_promptTrue,acc_met_organization1_promptTrue,ent_met_organization2_promptTrue,acc_met_organization2_promptTrue,ent_met_organization3_promptTrue,acc_met_organization3_promptTrue,ent_met_organization4_promptTrue,acc_met_organization4_promptTrue,ent_met_organization0_promptFalse,acc_met_organization0_promptFalse,ent_met_organization1_promptFalse,acc_met_organization1_promptFalse,ent_met_organization2_promptFalse,acc_met_organization2_promptFalse,ent_met_organization3_promptFalse,acc_met_organization3_promptFalse,ent_met_organization4_promptFalse,acc_met_organization4_promptFalse,ent_met_location0_promptTrue,acc_met_location0_promptTrue,ent_met_location1_promptTrue,acc_met_location1_promptTrue,ent_met_location2_promptTrue,acc_met_location2_promptTrue,ent_met_location3_promptTrue,acc_met_location3_promptTrue,ent_met_location4_promptTrue,acc_met_location4_promptTrue,ent_met_location0_promptFalse,acc_met_location0_promptFalse,ent_met_location1_promptFalse,acc_met_location1_promptFalse,ent_met_location2_promptFalse,acc_met_location2_promptFalse,ent_met_location3_promptFalse,acc_met_location3_promptFalse,ent_met_location4_promptFalse,acc_met_location4_promptFalse,ent_met_none0_promptTrue,acc_met_none0_promptTrue,ent_met_none1_promptTrue,acc_met_none1_promptTrue,ent_met_none2_promptTrue,acc_met_none2_promptTrue,ent_met_none3_promptTrue,acc_met_none3_promptTrue,ent_met_none4_promptTrue,acc_met_none4_promptTrue,ent_met_none0_promptFalse,acc_met_none0_promptFalse,ent_met_none1_promptFalse,acc_met_none1_promptFalse,ent_met_none2_promptFalse,acc_met_none2_promptFalse,ent_met_none3_promptFalse,acc_met_none3_promptFalse,ent_met_none4_promptFalse,acc_met_none4_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse
0.5459057071960298,0.5978260869565217,0.6611111111111111,flan-t5-xl,0.502283105022831,220-148-494-218,4_prompt,False,1,,,,,,,,,,,,,,,,,,,157,103,,,,,,,,,,,,,,,,,,,54,6,,,,,,,,,,,,,,,,,,,72,43,,,,,,,,,,,,,,,,,,,123,68,,,,,,,,,,,,,,,,,,,674,494,,0.5459057071960298,,,,,,0.5459057071960298,,,,,,,,,0.5459057071960298,,,,,0.5459057071960298,,,
0.6071428571428572,0.5340314136125655,0.7555555555555555,flan-t5-xl,0.7034482758620689,204-178-612-86,4_prompt,False,0,,,,,,,,,,,,,,,,,,,157,103,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,38,,,,,,,,,,,,,,,,,,,123,63,,,,,,,,,,,,,,,,,,,674,612,,0.6071428571428572,,,,,,0.6071428571428572,,,,,,,,,0.6071428571428572,,,,,0.6071428571428572,,,
0.5954415954415955,0.5428571428571428,0.737037037037037,flan-t5-xl,0.6593059936908517,209-176-587-108,2_prompt,False,5,,,,,,,,,,,,,,,157,102,,,,,,,,,,,,,,,,,,,54,6,,,,,,,,,,,,,,,,,,,72,35,,,,,,,,,,,,,,,,,,,123,66,,,,,,,,,,,,,,,,,,,674,587,,,,,,,0.5954415954415955,,,,,,,0.5954415954415955,,,,,,,,0.5954415954415955,,,,,0.5954415954415955,,
0.5159914712153518,0.663013698630137,0.5796296296296296,flan-t5-xl,0.4223385689354276,242-123-384-331,2_prompt,False,4,,,,,,,,,,,,,,,157,110,,,,,,,,,,,,,,,,,,,54,17,,,,,,,,,,,,,,,,,,,72,43,,,,,,,,,,,,,,,,,,,123,72,,,,,,,,,,,,,,,,,,,674,384,,,,,,,0.5159914712153518,,,,,,,0.5159914712153518,,,,,,,,0.5159914712153518,,,,,0.5159914712153518,,
0.48888888888888893,0.7027777777777777,0.5101851851851852,flan-t5-xl,0.3748148148148148,253-107-298-422,2_prompt,False,3,,,,,,,,,,,,,,,157,110,,,,,,,,,,,,,,,,,,,54,19,,,,,,,,,,,,,,,,,,,72,45,,,,,,,,,,,,,,,,,,,123,79,,,,,,,,,,,,,,,,,,,674,298,,,,,,,0.48888888888888893,,,,,,,0.48888888888888893,,,,,,,,0.48888888888888893,,,,,0.48888888888888893,,
0.6090651558073654,0.5569948186528497,0.7444444444444445,flan-t5-xl,0.671875,215-171-589-105,2_prompt,False,2,,,,,,,,,,,,,,,157,108,,,,,,,,,,,,,,,,,,,54,5,,,,,,,,,,,,,,,,,,,72,36,,,,,,,,,,,,,,,,,,,123,66,,,,,,,,,,,,,,,,,,,674,589,,,,,,,0.6090651558073654,,,,,,,0.6090651558073654,,,,,,,,0.6090651558073654,,,,,0.6090651558073654,,
0.5355648535564854,0.6994535519125683,0.5888888888888889,flan-t5-xl,0.43389830508474575,256-110-380-334,2_prompt,False,1,,,,,,,,,,,,,,,157,115,,,,,,,,,,,,,,,,,,,54,17,,,,,,,,,,,,,,,,,,,72,46,,,,,,,,,,,,,,,,,,,123,78,,,,,,,,,,,,,,,,,,,674,380,,,,,,,0.5355648535564854,,,,,,,0.5355648535564854,,,,,,,,0.5355648535564854,,,,,0.5355648535564854,,
0.6840659340659341,0.6401028277634961,0.7870370370370371,flan-t5-xl,0.7345132743362832,249-140-601-90,2_prompt,False,0,,,,,,,,,,,,,,,157,128,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,39,,,,,,,,,,,,,,,,,,,123,81,,,,,,,,,,,,,,,,,,,674,601,,,,,,,0.6840659340659341,,,,,,,0.6840659340659341,,,,,,,,0.6840659340659341,,,,,0.6840659340659341,,
0.49325626204238915,0.7150837988826816,0.512962962962963,flan-t5-xl,0.3764705882352941,256-102-298-424,3_prompt,False,5,,,,,,,,,,,,,,,,,157,115,,,,,,,,,,,,,,,,,,,54,21,,,,,,,,,,,,,,,,,,,72,43,,,,,,,,,,,,,,,,,,,123,77,,,,,,,,,,,,,,,,,,,674,298,,,,,,0.49325626204238915,,,,,,,,0.49325626204238915,,,,,,,0.49325626204238915,,,,,0.49325626204238915,
0.5244536940686785,0.6904109589041096,0.5768518518518518,flan-t5-xl,0.4228187919463087,252-113-371-344,3_prompt,False,4,,,,,,,,,,,,,,,,,157,113,,,,,,,,,,,,,,,,,,,54,14,,,,,,,,,,,,,,,,,,,72,49,,,,,,,,,,,,,,,,,,,123,76,,,,,,,,,,,,,,,,,,,674,371,,,,,,0.5244536940686785,,,,,,,,0.5244536940686785,,,,,,,0.5244536940686785,,,,,0.5244536940686785,
