f_score,recall,accuracy,model,precision,mets,prompt,img,shots,ent_met_person0_promptTrue,acc_met_person0_promptTrue,ent_met_person1_promptTrue,acc_met_person1_promptTrue,ent_met_person2_promptTrue,acc_met_person2_promptTrue,ent_met_person3_promptTrue,acc_met_person3_promptTrue,ent_met_person4_promptTrue,acc_met_person4_promptTrue,ent_met_person0_promptFalse,acc_met_person0_promptFalse,ent_met_person1_promptFalse,acc_met_person1_promptFalse,ent_met_person2_promptFalse,acc_met_person2_promptFalse,ent_met_person3_promptFalse,acc_met_person3_promptFalse,ent_met_person4_promptFalse,acc_met_person4_promptFalse,ent_met_misceallonous0_promptTrue,acc_met_misceallonous0_promptTrue,ent_met_misceallonous1_promptTrue,acc_met_misceallonous1_promptTrue,ent_met_misceallonous2_promptTrue,acc_met_misceallonous2_promptTrue,ent_met_misceallonous3_promptTrue,acc_met_misceallonous3_promptTrue,ent_met_misceallonous4_promptTrue,acc_met_misceallonous4_promptTrue,ent_met_misceallonous0_promptFalse,acc_met_misceallonous0_promptFalse,ent_met_misceallonous1_promptFalse,acc_met_misceallonous1_promptFalse,ent_met_misceallonous2_promptFalse,acc_met_misceallonous2_promptFalse,ent_met_misceallonous3_promptFalse,acc_met_misceallonous3_promptFalse,ent_met_misceallonous4_promptFalse,acc_met_misceallonous4_promptFalse,ent_met_organization0_promptTrue,acc_met_organization0_promptTrue,ent_met_organization1_promptTrue,acc_met_organization1_promptTrue,ent_met_organization2_promptTrue,acc_met_organization2_promptTrue,ent_met_organization3_promptTrue,acc_met_organization3_promptTrue,ent_met_organization4_promptTrue,acc_met_organization4_promptTrue,ent_met_organization0_promptFalse,acc_met_organization0_promptFalse,ent_met_organization1_promptFalse,acc_met_organization1_promptFalse,ent_met_organization2_promptFalse,acc_met_organization2_promptFalse,ent_met_organization3_promptFalse,acc_met_organization3_promptFalse,ent_met_organization4_promptFalse,acc_met_organization4_promptFalse,ent_met_location0_promptTrue,acc_met_location0_promptTrue,ent_met_location1_promptTrue,acc_met_location1_promptTrue,ent_met_location2_promptTrue,acc_met_location2_promptTrue,ent_met_location3_promptTrue,acc_met_location3_promptTrue,ent_met_location4_promptTrue,acc_met_location4_promptTrue,ent_met_location0_promptFalse,acc_met_location0_promptFalse,ent_met_location1_promptFalse,acc_met_location1_promptFalse,ent_met_location2_promptFalse,acc_met_location2_promptFalse,ent_met_location3_promptFalse,acc_met_location3_promptFalse,ent_met_location4_promptFalse,acc_met_location4_promptFalse,ent_met_none0_promptTrue,acc_met_none0_promptTrue,ent_met_none1_promptTrue,acc_met_none1_promptTrue,ent_met_none2_promptTrue,acc_met_none2_promptTrue,ent_met_none3_promptTrue,acc_met_none3_promptTrue,ent_met_none4_promptTrue,acc_met_none4_promptTrue,ent_met_none0_promptFalse,acc_met_none0_promptFalse,ent_met_none1_promptFalse,acc_met_none1_promptFalse,ent_met_none2_promptFalse,acc_met_none2_promptFalse,ent_met_none3_promptFalse,acc_met_none3_promptFalse,ent_met_none4_promptFalse,acc_met_none4_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse
0.0813953488372093,0.0856269113149847,0.4148148148148148,opt-2.7b,0.07756232686980609,28-299-420-333,4_prompt,False,1,,,,,,,,,,,,,,,,,,,157,11,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,5,,,,,,,,,,,,,,,,,,,123,11,,,,,,,,,,,,,,,,,,,674,420,,0.0813953488372093,,,
0.04324324324324324,0.033426183844011144,0.5083333333333333,opt-2.7b,0.061224489795918366,12-347-537-184,4_prompt,False,0,,,,,,,,,,,,,,,,,,,157,7,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,1,,,,,,,,,,,,,,,,,,,123,3,,,,,,,,,,,,,,,,,,,674,537,,0.04324324324324324,,,
0.11895910780669146,0.15737704918032788,0.3416666666666667,opt-2.7b,0.09561752988047809,48-257-321-454,2_prompt,False,5,,,,,,,,,,,,,,,157,14,,,,,,,,,,,,,,,,,,,54,4,,,,,,,,,,,,,,,,,,,72,5,,,,,,,,,,,,,,,,,,,123,25,,,,,,,,,,,,,,,,,,,674,321,,,,,,,0.11895910780669146,,
0.058154235145385584,0.08013937282229965,0.3101851851851852,opt-2.7b,0.04563492063492063,23-264-312-481,2_prompt,False,4,,,,,,,,,,,,,,,157,15,,,,,,,,,,,,,,,,,,,54,2,,,,,,,,,,,,,,,,,,,72,2,,,,,,,,,,,,,,,,,,,123,4,,,,,,,,,,,,,,,,,,,674,312,,,,,,,0.058154235145385584,,
0.11138014527845036,0.15384615384615385,0.32037037037037036,opt-2.7b,0.0872865275142315,46-253-300-481,2_prompt,False,3,,,,,,,,,,,,,,,157,17,,,,,,,,,,,,,,,,,,,54,2,,,,,,,,,,,,,,,,,,,72,9,,,,,,,,,,,,,,,,,,,123,18,,,,,,,,,,,,,,,,,,,674,300,,,,,,,0.11138014527845036,,
0.05419354838709677,0.0711864406779661,0.3212962962962963,opt-2.7b,0.04375,21-274-326-459,2_prompt,False,2,,,,,,,,,,,,,,,157,8,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,4,,,,,,,,,,,,,,,,,,,123,8,,,,,,,,,,,,,,,,,,,674,326,,,,,,,0.05419354838709677,,
0.036832412523020254,0.026954177897574125,0.5157407407407407,opt-2.7b,0.05813953488372093,10-361-547-162,2_prompt,False,1,,,,,,,,,,,,,,,157,3,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,1,,,,,,,,,,,,,,,,,,,123,5,,,,,,,,,,,,,,,,,,,674,547,,,,,,,0.036832412523020254,,
0.033277870216306155,0.02865329512893983,0.462037037037037,opt-2.7b,0.03968253968253968,10-339-489-242,2_prompt,False,0,,,,,,,,,,,,,,,157,2,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,2,,,,,,,,,,,,,,,,,,,123,5,,,,,,,,,,,,,,,,,,,674,489,,,,,,,0.033277870216306155,,
0.11619283065512978,0.15771812080536912,0.33796296296296297,opt-2.7b,0.09197651663405088,47-251-318-464,3_prompt,False,5,,,,,,,,,,,,,,,,,157,17,,,,,,,,,,,,,,,,,,,54,3,,,,,,,,,,,,,,,,,,,72,9,,,,,,,,,,,,,,,,,,,123,18,,,,,,,,,,,,,,,,,,,674,318,,,,,,0.11619283065512978,
0.1064087061668682,0.14864864864864866,0.31574074074074077,opt-2.7b,0.08286252354048965,44-252-297-487,3_prompt,False,4,,,,,,,,,,,,,,,,,157,16,,,,,,,,,,,,,,,,,,,54,4,,,,,,,,,,,,,,,,,,,72,7,,,,,,,,,,,,,,,,,,,123,17,,,,,,,,,,,,,,,,,,,674,297,,,,,,0.1064087061668682,
