	False_0	False_1	False_2	True_0	True_1	True_2
0	0.6028708133971291	0.6207906295754028	0.5953002610966058	0.6102189781021898	0.6305278174037089	0.5980392156862745
1	NA	NA	NA	NA	NA	NA
2	NA	NA	NA	NA	NA	NA
3	NA	NA	NA	NA	NA	NA
4	NA	NA	NA	NA	NA	NA
