f_score,recall,accuracy,model,precision,mets,prompt,img,shots,ent_met_person0_promptTrue,acc_met_person0_promptTrue,ent_met_person1_promptTrue,acc_met_person1_promptTrue,ent_met_person2_promptTrue,acc_met_person2_promptTrue,ent_met_person3_promptTrue,acc_met_person3_promptTrue,ent_met_person4_promptTrue,acc_met_person4_promptTrue,ent_met_person0_promptFalse,acc_met_person0_promptFalse,ent_met_person1_promptFalse,acc_met_person1_promptFalse,ent_met_person2_promptFalse,acc_met_person2_promptFalse,ent_met_person3_promptFalse,acc_met_person3_promptFalse,ent_met_person4_promptFalse,acc_met_person4_promptFalse,ent_met_misceallonous0_promptTrue,acc_met_misceallonous0_promptTrue,ent_met_misceallonous1_promptTrue,acc_met_misceallonous1_promptTrue,ent_met_misceallonous2_promptTrue,acc_met_misceallonous2_promptTrue,ent_met_misceallonous3_promptTrue,acc_met_misceallonous3_promptTrue,ent_met_misceallonous4_promptTrue,acc_met_misceallonous4_promptTrue,ent_met_misceallonous0_promptFalse,acc_met_misceallonous0_promptFalse,ent_met_misceallonous1_promptFalse,acc_met_misceallonous1_promptFalse,ent_met_misceallonous2_promptFalse,acc_met_misceallonous2_promptFalse,ent_met_misceallonous3_promptFalse,acc_met_misceallonous3_promptFalse,ent_met_misceallonous4_promptFalse,acc_met_misceallonous4_promptFalse,ent_met_organization0_promptTrue,acc_met_organization0_promptTrue,ent_met_organization1_promptTrue,acc_met_organization1_promptTrue,ent_met_organization2_promptTrue,acc_met_organization2_promptTrue,ent_met_organization3_promptTrue,acc_met_organization3_promptTrue,ent_met_organization4_promptTrue,acc_met_organization4_promptTrue,ent_met_organization0_promptFalse,acc_met_organization0_promptFalse,ent_met_organization1_promptFalse,acc_met_organization1_promptFalse,ent_met_organization2_promptFalse,acc_met_organization2_promptFalse,ent_met_organization3_promptFalse,acc_met_organization3_promptFalse,ent_met_organization4_promptFalse,acc_met_organization4_promptFalse,ent_met_location0_promptTrue,acc_met_location0_promptTrue,ent_met_location1_promptTrue,acc_met_location1_promptTrue,ent_met_location2_promptTrue,acc_met_location2_promptTrue,ent_met_location3_promptTrue,acc_met_location3_promptTrue,ent_met_location4_promptTrue,acc_met_location4_promptTrue,ent_met_location0_promptFalse,acc_met_location0_promptFalse,ent_met_location1_promptFalse,acc_met_location1_promptFalse,ent_met_location2_promptFalse,acc_met_location2_promptFalse,ent_met_location3_promptFalse,acc_met_location3_promptFalse,ent_met_location4_promptFalse,acc_met_location4_promptFalse,ent_met_none0_promptTrue,acc_met_none0_promptTrue,ent_met_none1_promptTrue,acc_met_none1_promptTrue,ent_met_none2_promptTrue,acc_met_none2_promptTrue,ent_met_none3_promptTrue,acc_met_none3_promptTrue,ent_met_none4_promptTrue,acc_met_none4_promptTrue,ent_met_none0_promptFalse,acc_met_none0_promptFalse,ent_met_none1_promptFalse,acc_met_none1_promptFalse,ent_met_none2_promptFalse,acc_met_none2_promptFalse,ent_met_none3_promptFalse,acc_met_none3_promptFalse,ent_met_none4_promptFalse,acc_met_none4_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue
0.5873605947955389,0.626984126984127,0.6916666666666667,blip2-flan-t5-xl,0.5524475524475524,237-141-510-192,0_prompt,True,1,157,111,,,,,,,,,,,,,,,,,,,54,6,,,,,,,,,,,,,,,,,,,72,43,,,,,,,,,,,,,,,,,,,123,77,,,,,,,,,,,,,,,,,,,674,510,,,,,,,,,,,,,,,,,,,,,,,,,0.5873605947955389,,,,,,,,
0.6216596343178622,0.5877659574468085,0.7509259259259259,blip2-flan-t5-xl,0.6597014925373135,221-155-590-114,0_prompt,True,0,157,108,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,43,,,,,,,,,,,,,,,,,,,123,70,,,,,,,,,,,,,,,,,,,674,590,,,,,,,,,,,,,,,,,,,,,,,,,0.6216596343178622,,,,,,,,
0.5342465753424657,0.5186170212765957,0.6851851851851852,blip2-flan-t5-xl,0.5508474576271186,195-181-545-159,4_prompt,False,5,,,,,,,,,,,,,,,,,,,157,96,,,,,,,,,,,,,,,,,,,54,7,,,,,,,,,,,,,,,,,,,72,29,,,,,,,,,,,,,,,,,,,123,63,,,,,,,,,,,,,,,,,,,674,545,,0.5342465753424657,,,,,,0.5342465753424657,,,,,,,
0.4779161947904869,0.5844875346260388,0.5731481481481482,blip2-flan-t5-xl,0.4042145593869732,211-150-408-311,4_prompt,False,4,,,,,,,,,,,,,,,,,,,157,98,,,,,,,,,,,,,,,,,,,54,7,,,,,,,,,,,,,,,,,,,72,37,,,,,,,,,,,,,,,,,,,123,69,,,,,,,,,,,,,,,,,,,674,408,,0.4779161947904869,,,,,,0.4779161947904869,,,,,,,
0.5125000000000001,0.5616438356164384,0.6388888888888888,blip2-flan-t5-xl,0.47126436781609193,205-160-485-230,4_prompt,False,3,,,,,,,,,,,,,,,,,,,157,101,,,,,,,,,,,,,,,,,,,54,7,,,,,,,,,,,,,,,,,,,72,32,,,,,,,,,,,,,,,,,,,123,65,,,,,,,,,,,,,,,,,,,674,485,,0.5125000000000001,,,,,,0.5125000000000001,,,,,,,
0.5072815533980582,0.5648648648648649,0.6240740740740741,blip2-flan-t5-xl,0.460352422907489,209-161-465-245,4_prompt,False,2,,,,,,,,,,,,,,,,,,,157,99,,,,,,,,,,,,,,,,,,,54,7,,,,,,,,,,,,,,,,,,,72,31,,,,,,,,,,,,,,,,,,,123,72,,,,,,,,,,,,,,,,,,,674,465,,0.5072815533980582,,,,,,0.5072815533980582,,,,,,,
0.5591098748261474,0.5317460317460317,0.7064814814814815,blip2-flan-t5-xl,0.5894428152492669,201-177-562-140,4_prompt,False,1,,,,,,,,,,,,,,,,,,,157,92,,,,,,,,,,,,,,,,,,,54,3,,,,,,,,,,,,,,,,,,,72,37,,,,,,,,,,,,,,,,,,,123,69,,,,,,,,,,,,,,,,,,,674,562,,0.5591098748261474,,,,,,0.5591098748261474,,,,,,,
0.4781849912739965,0.35128205128205126,0.7231481481481481,blip2-flan-t5-xl,0.7486338797814208,137-253-644-46,4_prompt,False,0,,,,,,,,,,,,,,,,,,,157,71,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,26,,,,,,,,,,,,,,,,,,,123,40,,,,,,,,,,,,,,,,,,,674,644,,0.4781849912739965,,,,,,0.4781849912739965,,,,,,,
0.5309200603318249,0.4631578947368421,0.712037037037037,blip2-flan-t5-xl,0.6219081272084805,176-204-593-107,4_prompt,True,5,,,,,,,,,157,88,,,,,,,,,,,,,,,,,,,54,5,,,,,,,,,,,,,,,,,,,72,25,,,,,,,,,,,,,,,,,,,123,58,,,,,,,,,,,,,,,,,,,674,593,,,,,,,,,,,,,,,,,,,0.5309200603318249,,,,,,
0.5390625,0.5579514824797843,0.6722222222222223,blip2-flan-t5-xl,0.5214105793450882,207-164-519-190,4_prompt,True,4,,,,,,,,,157,96,,,,,,,,,,,,,,,,,,,54,9,,,,,,,,,,,,,,,,,,,72,35,,,,,,,,,,,,,,,,,,,123,67,,,,,,,,,,,,,,,,,,,674,519,,,,,,,,,,,,,,,,,,,0.5390625,,,,,,
0.5663716814159292,0.49612403100775193,0.7277777777777777,blip2-flan-t5-xl,0.6597938144329897,192-195-594-99,4_prompt,True,3,,,,,,,,,157,86,,,,,,,,,,,,,,,,,,,54,4,,,,,,,,,,,,,,,,,,,72,42,,,,,,,,,,,,,,,,,,,123,60,,,,,,,,,,,,,,,,,,,674,594,,,,,,,,,,,,,,,,,,,0.5663716814159292,,,,,,
0.5611111111111112,0.5343915343915344,0.7074074074074074,blip2-flan-t5-xl,0.5906432748538012,202-176-562-140,4_prompt,True,2,,,,,,,,,157,93,,,,,,,,,,,,,,,,,,,54,2,,,,,,,,,,,,,,,,,,,72,39,,,,,,,,,,,,,,,,,,,123,68,,,,,,,,,,,,,,,,,,,674,562,,,,,,,,,,,,,,,,,,,0.5611111111111112,,,,,,
0.5693848354792561,0.5209424083769634,0.7212962962962963,blip2-flan-t5-xl,0.6277602523659306,199-183-580-118,4_prompt,True,1,,,,,,,,,157,91,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,41,,,,,,,,,,,,,,,,,,,123,66,,,,,,,,,,,,,,,,,,,674,580,,,,,,,,,,,,,,,,,,,0.5693848354792561,,,,,,
0.5230263157894737,0.4097938144329897,0.7314814814814815,blip2-flan-t5-xl,0.7227272727272728,159-229-631-61,4_prompt,True,0,,,,,,,,,157,69,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,38,,,,,,,,,,,,,,,,,,,123,52,,,,,,,,,,,,,,,,,,,674,631,,,,,,,,,,,,,,,,,,,0.5230263157894737,,,,,,
0.46153846153846156,0.6837606837606838,0.48148148148148145,blip2-flan-t5-xl,0.3483309143686502,240-111-280-449,2_prompt,False,5,,,,,,,,,,,,,,,157,109,,,,,,,,,,,,,,,,,,,54,16,,,,,,,,,,,,,,,,,,,72,42,,,,,,,,,,,,,,,,,,,123,73,,,,,,,,,,,,,,,,,,,674,280,,,,,,,0.46153846153846156,,,,,,,0.46153846153846156,,,,,
0.46859421734795614,0.6714285714285714,0.5064814814814815,blip2-flan-t5-xl,0.35987748851454826,235-115-312-418,2_prompt,False,4,,,,,,,,,,,,,,,157,110,,,,,,,,,,,,,,,,,,,54,15,,,,,,,,,,,,,,,,,,,72,40,,,,,,,,,,,,,,,,,,,123,70,,,,,,,,,,,,,,,,,,,674,312,,,,,,,0.46859421734795614,,,,,,,0.46859421734795614,,,,,
0.5673940949935816,0.58311345646438,0.687962962962963,blip2-flan-t5-xl,0.5525,221-158-522-179,2_prompt,False,3,,,,,,,,,,,,,,,157,109,,,,,,,,,,,,,,,,,,,54,7,,,,,,,,,,,,,,,,,,,72,39,,,,,,,,,,,,,,,,,,,123,66,,,,,,,,,,,,,,,,,,,674,522,,,,,,,0.5673940949935816,,,,,,,0.5673940949935816,,,,,
0.5844875346260389,0.5523560209424084,0.7222222222222222,blip2-flan-t5-xl,0.6205882352941177,211-171-569-129,2_prompt,False,2,,,,,,,,,,,,,,,157,108,,,,,,,,,,,,,,,,,,,54,5,,,,,,,,,,,,,,,,,,,72,32,,,,,,,,,,,,,,,,,,,123,66,,,,,,,,,,,,,,,,,,,674,569,,,,,,,0.5844875346260389,,,,,,,0.5844875346260389,,,,,
0.5784919653893696,0.6223404255319149,0.6842592592592592,blip2-flan-t5-xl,0.5404157043879908,234-142-505-199,2_prompt,False,1,,,,,,,,,,,,,,,157,108,,,,,,,,,,,,,,,,,,,54,8,,,,,,,,,,,,,,,,,,,72,43,,,,,,,,,,,,,,,,,,,123,75,,,,,,,,,,,,,,,,,,,674,505,,,,,,,0.5784919653893696,,,,,,,0.5784919653893696,,,,,
0.6125574272588056,0.5305039787798409,0.7657407407407407,blip2-flan-t5-xl,0.7246376811594203,200-177-627-76,2_prompt,False,0,,,,,,,,,,,,,,,157,111,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,29,,,,,,,,,,,,,,,,,,,123,60,,,,,,,,,,,,,,,,,,,674,627,,,,,,,0.6125574272588056,,,,,,,0.6125574272588056,,,,,
0.4890929965556831,0.5803814713896458,0.5879629629629629,blip2-flan-t5-xl,0.4226190476190476,213-154-422-291,2_prompt,True,5,,,,,157,101,,,,,,,,,,,,,,,,,,,54,13,,,,,,,,,,,,,,,,,,,72,39,,,,,,,,,,,,,,,,,,,123,60,,,,,,,,,,,,,,,,,,,674,422,,,,,,,,,,,,,,,,,,,,,,,,,0.4890929965556831,,,,
0.5953757225433527,0.535064935064935,0.7407407407407407,blip2-flan-t5-xl,0.6710097719869706,206-179-594-101,2_prompt,True,4,,,,,157,106,,,,,,,,,,,,,,,,,,,54,5,,,,,,,,,,,,,,,,,,,72,32,,,,,,,,,,,,,,,,,,,123,63,,,,,,,,,,,,,,,,,,,674,594,,,,,,,,,,,,,,,,,,,,,,,,,0.5953757225433527,,,,
0.5644171779141104,0.610079575596817,0.6712962962962963,blip2-flan-t5-xl,0.5251141552511416,230-147-495-208,2_prompt,True,3,,,,,157,106,,,,,,,,,,,,,,,,,,,54,13,,,,,,,,,,,,,,,,,,,72,40,,,,,,,,,,,,,,,,,,,123,71,,,,,,,,,,,,,,,,,,,674,495,,,,,,,,,,,,,,,,,,,,,,,,,0.5644171779141104,,,,
0.5940902021772939,0.4897435897435897,0.7583333333333333,blip2-flan-t5-xl,0.7549407114624506,191-199-628-62,2_prompt,True,2,,,,,157,98,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,31,,,,,,,,,,,,,,,,,,,123,62,,,,,,,,,,,,,,,,,,,674,628,,,,,,,,,,,,,,,,,,,,,,,,,0.5940902021772939,,,,
0.5981554677206852,0.5973684210526315,0.7175925925925926,blip2-flan-t5-xl,0.5989445910290238,227-153-548-152,2_prompt,True,1,,,,,157,110,,,,,,,,,,,,,,,,,,,54,4,,,,,,,,,,,,,,,,,,,72,40,,,,,,,,,,,,,,,,,,,123,73,,,,,,,,,,,,,,,,,,,674,548,,,,,,,,,,,,,,,,,,,,,,,,,0.5981554677206852,,,,
0.6132930513595165,0.5486486486486486,0.762962962962963,blip2-flan-t5-xl,0.6952054794520548,203-167-621-89,2_prompt,True,0,,,,,157,109,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,34,,,,,,,,,,,,,,,,,,,123,60,,,,,,,,,,,,,,,,,,,674,621,,,,,,,,,,,,,,,,,,,,,,,,,0.6132930513595165,,,,
0.45951035781544247,0.6931818181818182,0.4685185185185185,blip2-flan-t5-xl,0.3436619718309859,244-108-262-466,3_prompt,False,5,,,,,,,,,,,,,,,,,157,112,,,,,,,,,,,,,,,,,,,54,15,,,,,,,,,,,,,,,,,,,72,43,,,,,,,,,,,,,,,,,,,123,74,,,,,,,,,,,,,,,,,,,674,262,,,,,,0.45951035781544247,,,,,,,,0.45951035781544247,,,
0.5,0.6862745098039216,0.5462962962962963,blip2-flan-t5-xl,0.39325842696629215,245-112-345-378,3_prompt,False,4,,,,,,,,,,,,,,,,,157,111,,,,,,,,,,,,,,,,,,,54,17,,,,,,,,,,,,,,,,,,,72,40,,,,,,,,,,,,,,,,,,,123,77,,,,,,,,,,,,,,,,,,,674,345,,,,,,0.5,,,,,,,,0.5,,,
