	False_0	False_1	False_2	False_4	False_5	False_6	False_7	False_8	True_0	True_1	True_2	True_4	True_5	True_6	True_7	True_8
0	0.5648854961832062	0.5599022004889975	0.524515393386545	0.5102702702702702	0.5192519251925193	0.5086206896551724	0.5195652173913043	0.5232432432432433	0.5349143610013175	0.543757292882147	0.5349611542730299	0.5189075630252102	0.5192307692307693	0.519453207150368	0.529032258064516	0.5248677248677248
1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
