f_score,recall,accuracy,model,precision,mets,prompt,img,shots,ent_met_person0_promptTrue,acc_met_person0_promptTrue,ent_met_person1_promptTrue,acc_met_person1_promptTrue,ent_met_person2_promptTrue,acc_met_person2_promptTrue,ent_met_person3_promptTrue,acc_met_person3_promptTrue,ent_met_person4_promptTrue,acc_met_person4_promptTrue,ent_met_person0_promptFalse,acc_met_person0_promptFalse,ent_met_person1_promptFalse,acc_met_person1_promptFalse,ent_met_person2_promptFalse,acc_met_person2_promptFalse,ent_met_person3_promptFalse,acc_met_person3_promptFalse,ent_met_person4_promptFalse,acc_met_person4_promptFalse,ent_met_misceallonous0_promptTrue,acc_met_misceallonous0_promptTrue,ent_met_misceallonous1_promptTrue,acc_met_misceallonous1_promptTrue,ent_met_misceallonous2_promptTrue,acc_met_misceallonous2_promptTrue,ent_met_misceallonous3_promptTrue,acc_met_misceallonous3_promptTrue,ent_met_misceallonous4_promptTrue,acc_met_misceallonous4_promptTrue,ent_met_misceallonous0_promptFalse,acc_met_misceallonous0_promptFalse,ent_met_misceallonous1_promptFalse,acc_met_misceallonous1_promptFalse,ent_met_misceallonous2_promptFalse,acc_met_misceallonous2_promptFalse,ent_met_misceallonous3_promptFalse,acc_met_misceallonous3_promptFalse,ent_met_misceallonous4_promptFalse,acc_met_misceallonous4_promptFalse,ent_met_organization0_promptTrue,acc_met_organization0_promptTrue,ent_met_organization1_promptTrue,acc_met_organization1_promptTrue,ent_met_organization2_promptTrue,acc_met_organization2_promptTrue,ent_met_organization3_promptTrue,acc_met_organization3_promptTrue,ent_met_organization4_promptTrue,acc_met_organization4_promptTrue,ent_met_organization0_promptFalse,acc_met_organization0_promptFalse,ent_met_organization1_promptFalse,acc_met_organization1_promptFalse,ent_met_organization2_promptFalse,acc_met_organization2_promptFalse,ent_met_organization3_promptFalse,acc_met_organization3_promptFalse,ent_met_organization4_promptFalse,acc_met_organization4_promptFalse,ent_met_location0_promptTrue,acc_met_location0_promptTrue,ent_met_location1_promptTrue,acc_met_location1_promptTrue,ent_met_location2_promptTrue,acc_met_location2_promptTrue,ent_met_location3_promptTrue,acc_met_location3_promptTrue,ent_met_location4_promptTrue,acc_met_location4_promptTrue,ent_met_location0_promptFalse,acc_met_location0_promptFalse,ent_met_location1_promptFalse,acc_met_location1_promptFalse,ent_met_location2_promptFalse,acc_met_location2_promptFalse,ent_met_location3_promptFalse,acc_met_location3_promptFalse,ent_met_location4_promptFalse,acc_met_location4_promptFalse,ent_met_none0_promptTrue,acc_met_none0_promptTrue,ent_met_none1_promptTrue,acc_met_none1_promptTrue,ent_met_none2_promptTrue,acc_met_none2_promptTrue,ent_met_none3_promptTrue,acc_met_none3_promptTrue,ent_met_none4_promptTrue,acc_met_none4_promptTrue,ent_met_none0_promptFalse,acc_met_none0_promptFalse,ent_met_none1_promptFalse,acc_met_none1_promptFalse,ent_met_none2_promptFalse,acc_met_none2_promptFalse,ent_met_none3_promptFalse,acc_met_none3_promptFalse,ent_met_none4_promptFalse,acc_met_none4_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue
0.4676328502415459,0.5377777777777778,0.5187772925764192,blip2-flan-t5-xl,0.41367521367521365,242-208-352-343,0_prompt,True,1,275,132,,,,,,,,,,,,,,,,,,,58,6,,,,,,,,,,,,,,,,,,,125,67,,,,,,,,,,,,,,,,,,,59,37,,,,,,,,,,,,,,,,,,,628,352,,,,,,,,,,,,,,,,,,,,,,,,,0.4676328502415459,,,,,,,,,,0.4676328502415459,,,,,,,,
0.5693950177935942,0.48582995951417,0.6829694323144104,blip2-flan-t5-xl,0.6876790830945558,240-254-542-109,0_prompt,True,0,275,147,,,,,,,,,,,,,,,,,,,58,1,,,,,,,,,,,,,,,,,,,125,63,,,,,,,,,,,,,,,,,,,59,29,,,,,,,,,,,,,,,,,,,628,542,,,,,,,,,,,,,,,,,,,,,,,,,0.5693950177935942,,,,,,,,,,0.5693950177935942,,,,,,,,
0.2218487394957983,0.12840466926070038,0.5956331877729257,blip2-flan-t5-xl,0.8148148148148148,66-448-616-15,4_prompt,False,5,,,,,,,,,,,,,,,,,,,275,48,,,,,,,,,,,,,,,,,,,58,1,,,,,,,,,,,,,,,,,,,125,8,,,,,,,,,,,,,,,,,,,59,9,,,,,,,,,,,,,,,,,,,628,616,,0.2218487394957983,,,,,,0.2218487394957983,,,,,,,,,,0.2218487394957983,,,,,,,
0.3440860215053763,0.2191780821917808,0.6270742358078603,blip2-flan-t5-xl,0.8,112-399-606-28,4_prompt,False,4,,,,,,,,,,,,,,,,,,,275,74,,,,,,,,,,,,,,,,,,,58,0,,,,,,,,,,,,,,,,,,,125,24,,,,,,,,,,,,,,,,,,,59,14,,,,,,,,,,,,,,,,,,,628,606,,0.3440860215053763,,,,,,0.3440860215053763,,,,,,,,,,0.3440860215053763,,,,,,,
0.40751445086705207,0.275390625,0.6419213973799127,blip2-flan-t5-xl,0.7833333333333333,141-371-594-39,4_prompt,False,3,,,,,,,,,,,,,,,,,,,275,95,,,,,,,,,,,,,,,,,,,58,1,,,,,,,,,,,,,,,,,,,125,28,,,,,,,,,,,,,,,,,,,59,17,,,,,,,,,,,,,,,,,,,628,594,,0.40751445086705207,,,,,,0.40751445086705207,,,,,,,,,,0.40751445086705207,,,,,,,
0.4797913950456323,0.368,0.651528384279476,blip2-flan-t5-xl,0.6891385767790262,184-316-562-83,4_prompt,False,2,,,,,,,,,,,,,,,,,,,275,119,,,,,,,,,,,,,,,,,,,58,3,,,,,,,,,,,,,,,,,,,125,41,,,,,,,,,,,,,,,,,,,59,21,,,,,,,,,,,,,,,,,,,628,562,,0.4797913950456323,,,,,,0.4797913950456323,,,,,,,,,,0.4797913950456323,,,,,,,
0.5024509803921569,0.41330645161290325,0.645414847161572,blip2-flan-t5-xl,0.640625,205-291-534-115,4_prompt,False,1,,,,,,,,,,,,,,,,,,,275,134,,,,,,,,,,,,,,,,,,,58,3,,,,,,,,,,,,,,,,,,,125,41,,,,,,,,,,,,,,,,,,,59,27,,,,,,,,,,,,,,,,,,,628,534,,0.5024509803921569,,,,,,0.5024509803921569,,,,,,,,,,0.5024509803921569,,,,,,,
0.3768996960486322,0.24266144814090018,0.6419213973799127,blip2-flan-t5-xl,0.8435374149659864,124-387-611-23,4_prompt,False,0,,,,,,,,,,,,,,,,,,,275,82,,,,,,,,,,,,,,,,,,,58,0,,,,,,,,,,,,,,,,,,,125,24,,,,,,,,,,,,,,,,,,,59,18,,,,,,,,,,,,,,,,,,,628,611,,0.3768996960486322,,,,,,0.3768996960486322,,,,,,,,,,0.3768996960486322,,,,,,,
0.1986301369863014,0.1124031007751938,0.5912663755458515,blip2-flan-t5-xl,0.8529411764705882,58-458-619-10,4_prompt,True,5,,,,,,,,,275,39,,,,,,,,,,,,,,,,,,,58,0,,,,,,,,,,,,,,,,,,,125,8,,,,,,,,,,,,,,,,,,,59,11,,,,,,,,,,,,,,,,,,,628,619,,,,,,,,,,,,,,,,,,,0.1986301369863014,,,,,,,,,,0.1986301369863014,,,,,,
0.32148377125193195,0.2035225048923679,0.616593886462882,blip2-flan-t5-xl,0.7647058823529411,104-407-602-32,4_prompt,True,4,,,,,,,,,275,67,,,,,,,,,,,,,,,,,,,58,1,,,,,,,,,,,,,,,,,,,125,24,,,,,,,,,,,,,,,,,,,59,12,,,,,,,,,,,,,,,,,,,628,602,,,,,,,,,,,,,,,,,,,0.32148377125193195,,,,,,,,,,0.32148377125193195,,,,,,
