	False_0	False_1	True_0	True_1
0	0.6379746835443039	0.5937500000000001	0.6347941567065073	0.5230125523012552
1	NA	NA	NA	NA
2	NA	NA	NA	NA
3	NA	NA	NA	NA
4	NA	NA	NA	NA
