f_score,recall,accuracy,model,precision,mets,prompt,img,shots,ent_met_person0_promptTrue,acc_met_person0_promptTrue,ent_met_person1_promptTrue,acc_met_person1_promptTrue,ent_met_person2_promptTrue,acc_met_person2_promptTrue,ent_met_person3_promptTrue,acc_met_person3_promptTrue,ent_met_person4_promptTrue,acc_met_person4_promptTrue,ent_met_person0_promptFalse,acc_met_person0_promptFalse,ent_met_person1_promptFalse,acc_met_person1_promptFalse,ent_met_person2_promptFalse,acc_met_person2_promptFalse,ent_met_person3_promptFalse,acc_met_person3_promptFalse,ent_met_person4_promptFalse,acc_met_person4_promptFalse,ent_met_misceallonous0_promptTrue,acc_met_misceallonous0_promptTrue,ent_met_misceallonous1_promptTrue,acc_met_misceallonous1_promptTrue,ent_met_misceallonous2_promptTrue,acc_met_misceallonous2_promptTrue,ent_met_misceallonous3_promptTrue,acc_met_misceallonous3_promptTrue,ent_met_misceallonous4_promptTrue,acc_met_misceallonous4_promptTrue,ent_met_misceallonous0_promptFalse,acc_met_misceallonous0_promptFalse,ent_met_misceallonous1_promptFalse,acc_met_misceallonous1_promptFalse,ent_met_misceallonous2_promptFalse,acc_met_misceallonous2_promptFalse,ent_met_misceallonous3_promptFalse,acc_met_misceallonous3_promptFalse,ent_met_misceallonous4_promptFalse,acc_met_misceallonous4_promptFalse,ent_met_organization0_promptTrue,acc_met_organization0_promptTrue,ent_met_organization1_promptTrue,acc_met_organization1_promptTrue,ent_met_organization2_promptTrue,acc_met_organization2_promptTrue,ent_met_organization3_promptTrue,acc_met_organization3_promptTrue,ent_met_organization4_promptTrue,acc_met_organization4_promptTrue,ent_met_organization0_promptFalse,acc_met_organization0_promptFalse,ent_met_organization1_promptFalse,acc_met_organization1_promptFalse,ent_met_organization2_promptFalse,acc_met_organization2_promptFalse,ent_met_organization3_promptFalse,acc_met_organization3_promptFalse,ent_met_organization4_promptFalse,acc_met_organization4_promptFalse,ent_met_location0_promptTrue,acc_met_location0_promptTrue,ent_met_location1_promptTrue,acc_met_location1_promptTrue,ent_met_location2_promptTrue,acc_met_location2_promptTrue,ent_met_location3_promptTrue,acc_met_location3_promptTrue,ent_met_location4_promptTrue,acc_met_location4_promptTrue,ent_met_location0_promptFalse,acc_met_location0_promptFalse,ent_met_location1_promptFalse,acc_met_location1_promptFalse,ent_met_location2_promptFalse,acc_met_location2_promptFalse,ent_met_location3_promptFalse,acc_met_location3_promptFalse,ent_met_location4_promptFalse,acc_met_location4_promptFalse,ent_met_none0_promptTrue,acc_met_none0_promptTrue,ent_met_none1_promptTrue,acc_met_none1_promptTrue,ent_met_none2_promptTrue,acc_met_none2_promptTrue,ent_met_none3_promptTrue,acc_met_none3_promptTrue,ent_met_none4_promptTrue,acc_met_none4_promptTrue,ent_met_none0_promptFalse,acc_met_none0_promptFalse,ent_met_none1_promptFalse,acc_met_none1_promptFalse,ent_met_none2_promptFalse,acc_met_none2_promptFalse,ent_met_none3_promptFalse,acc_met_none3_promptFalse,ent_met_none4_promptFalse,acc_met_none4_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse
0.04633204633204634,0.06545454545454546,0.3138888888888889,opt-6.7b,0.035856573705179286,18-257-321-484,4_prompt,False,1,,,,,,,,,,,,,,,,,,,157,7,,,,,,,,,,,,,,,,,,,54,2,,,,,,,,,,,,,,,,,,,72,7,,,,,,,,,,,,,,,,,,,123,2,,,,,,,,,,,,,,,,,,,674,321,,0.04633204633204634,,,,,,0.04633204633204634,,,,,,,,,0.04633204633204634,,,,,0.04633204633204634,,,,,0.04633204633204634,,,
0.04671532846715328,0.050156739811912224,0.39537037037037037,opt-6.7b,0.04371584699453552,16-303-411-350,4_prompt,False,0,,,,,,,,,,,,,,,,,,,157,9,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,6,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,411,,0.04671532846715328,,,,,,0.04671532846715328,,,,,,,,,0.04671532846715328,,,,,0.04671532846715328,,,,,0.04671532846715328,,,
0.027739251040221912,0.03389830508474576,0.3509259259259259,opt-6.7b,0.023474178403755867,10-285-369-416,2_prompt,False,5,,,,,,,,,,,,,,,157,5,,,,,,,,,,,,,,,,,,,54,2,,,,,,,,,,,,,,,,,,,72,3,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,369,,,,,,,0.027739251040221912,,,,,,,0.027739251040221912,,,,,,,,0.027739251040221912,,,,,0.027739251040221912,,,,,0.027739251040221912,,
0.07168458781362007,0.11152416356877323,0.28055555555555556,opt-6.7b,0.0528169014084507,30-239-273-538,2_prompt,False,4,,,,,,,,,,,,,,,157,16,,,,,,,,,,,,,,,,,,,54,3,,,,,,,,,,,,,,,,,,,72,8,,,,,,,,,,,,,,,,,,,123,3,,,,,,,,,,,,,,,,,,,674,273,,,,,,,0.07168458781362007,,,,,,,0.07168458781362007,,,,,,,,0.07168458781362007,,,,,0.07168458781362007,,,,,0.07168458781362007,,
0.03783783783783784,0.04912280701754386,0.34074074074074073,opt-6.7b,0.03076923076923077,14-271-354-441,2_prompt,False,3,,,,,,,,,,,,,,,157,4,,,,,,,,,,,,,,,,,,,54,3,,,,,,,,,,,,,,,,,,,72,6,,,,,,,,,,,,,,,,,,,123,1,,,,,,,,,,,,,,,,,,,674,354,,,,,,,0.03783783783783784,,,,,,,0.03783783783783784,,,,,,,,0.03783783783783784,,,,,0.03783783783783784,,,,,0.03783783783783784,,
0.040160642570281124,0.05263157894736842,0.33611111111111114,opt-6.7b,0.032467532467532464,15-270-348-447,2_prompt,False,2,,,,,,,,,,,,,,,157,4,,,,,,,,,,,,,,,,,,,54,2,,,,,,,,,,,,,,,,,,,72,6,,,,,,,,,,,,,,,,,,,123,3,,,,,,,,,,,,,,,,,,,674,348,,,,,,,0.040160642570281124,,,,,,,0.040160642570281124,,,,,,,,0.040160642570281124,,,,,0.040160642570281124,,,,,0.040160642570281124,,
0.03183023872679045,0.041379310344827586,0.32407407407407407,opt-6.7b,0.02586206896551724,12-278-338-452,2_prompt,False,1,,,,,,,,,,,,,,,157,5,,,,,,,,,,,,,,,,,,,54,3,,,,,,,,,,,,,,,,,,,72,4,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,338,,,,,,,0.03183023872679045,,,,,,,0.03183023872679045,,,,,,,,0.03183023872679045,,,,,0.03183023872679045,,,,,0.03183023872679045,,
0.024861878453038676,0.030405405405405407,0.34629629629629627,opt-6.7b,0.02102803738317757,9-287-365-419,2_prompt,False,0,,,,,,,,,,,,,,,157,7,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,1,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,365,,,,,,,0.024861878453038676,,,,,,,0.024861878453038676,,,,,,,,0.024861878453038676,,,,,0.024861878453038676,,,,,0.024861878453038676,,
0.08823529411764706,0.12631578947368421,0.3111111111111111,opt-6.7b,0.06779661016949153,36-249-300-495,3_prompt,False,5,,,,,,,,,,,,,,,,,157,16,,,,,,,,,,,,,,,,,,,54,7,,,,,,,,,,,,,,,,,,,72,9,,,,,,,,,,,,,,,,,,,123,4,,,,,,,,,,,,,,,,,,,674,300,,,,,,0.08823529411764706,,,,,,,,0.08823529411764706,,,,,,,0.08823529411764706,,,,,0.08823529411764706,,,,,0.08823529411764706,
0.061855670103092786,0.08135593220338982,0.32592592592592595,opt-6.7b,0.0498960498960499,24-271-328-457,3_prompt,False,4,,,,,,,,,,,,,,,,,157,10,,,,,,,,,,,,,,,,,,,54,3,,,,,,,,,,,,,,,,,,,72,6,,,,,,,,,,,,,,,,,,,123,5,,,,,,,,,,,,,,,,,,,674,328,,,,,,0.061855670103092786,,,,,,,,0.061855670103092786,,,,,,,0.061855670103092786,,,,,0.061855670103092786,,,,,0.061855670103092786,
0.0851063829787234,0.10526315789473684,0.362962962962963,opt-6.7b,0.07142857142857142,32-272-360-416,3_prompt,False,3,,,,,,,,,,,,,,,,,157,14,,,,,,,,,,,,,,,,,,,54,5,,,,,,,,,,,,,,,,,,,72,9,,,,,,,,,,,,,,,,,,,123,4,,,,,,,,,,,,,,,,,,,674,360,,,,,,0.0851063829787234,,,,,,,,0.0851063829787234,,,,,,,0.0851063829787234,,,,,0.0851063829787234,,,,,0.0851063829787234,
0.04526166902404526,0.05245901639344262,0.375,opt-6.7b,0.03980099502487562,16-289-389-386,3_prompt,False,2,,,,,,,,,,,,,,,,,157,8,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,7,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,389,,,,,,0.04526166902404526,,,,,,,,0.04526166902404526,,,,,,,0.04526166902404526,,,,,0.04526166902404526,,,,,0.04526166902404526,
0.04733727810650887,0.049689440993788817,0.40370370370370373,opt-6.7b,0.04519774011299435,16-306-420-338,3_prompt,False,1,,,,,,,,,,,,,,,,,157,9,,,,,,,,,,,,,,,,,,,54,2,,,,,,,,,,,,,,,,,,,72,4,,,,,,,,,,,,,,,,,,,123,1,,,,,,,,,,,,,,,,,,,674,420,,,,,,0.04733727810650887,,,,,,,,0.04733727810650887,,,,,,,0.04733727810650887,,,,,0.04733727810650887,,,,,0.04733727810650887,
0.04729729729729729,0.041176470588235294,0.4777777777777778,opt-6.7b,0.05555555555555555,14-326-502-238,3_prompt,False,0,,,,,,,,,,,,,,,,,157,8,,,,,,,,,,,,,,,,,,,54,2,,,,,,,,,,,,,,,,,,,72,3,,,,,,,,,,,,,,,,,,,123,1,,,,,,,,,,,,,,,,,,,674,502,,,,,,0.04729729729729729,,,,,,,,0.04729729729729729,,,,,,,0.04729729729729729,,,,,0.04729729729729729,,,,,0.04729729729729729,
0.06119951040391677,0.09363295880149813,0.2898148148148148,opt-6.7b,0.045454545454545456,25-242-288-525,1_prompt,False,5,,,,,,,,,,,,,157,14,,,,,,,,,,,,,,,,,,,54,2,,,,,,,,,,,,,,,,,,,72,5,,,,,,,,,,,,,,,,,,,123,4,,,,,,,,,,,,,,,,,,,674,288,,,,,,,,,,,0.06119951040391677,,,,,,,,,0.06119951040391677,,,,,,0.06119951040391677,,,,,0.06119951040391677,,,,,0.06119951040391677
0.021660649819494587,0.017595307917888565,0.4981481481481482,opt-6.7b,0.028169014084507043,6-335-532-207,1_prompt,False,4,,,,,,,,,,,,,157,2,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,2,,,,,,,,,,,,,,,,,,,123,2,,,,,,,,,,,,,,,,,,,674,532,,,,,,,,,,,0.021660649819494587,,,,,,,,,0.021660649819494587,,,,,,0.021660649819494587,,,,,0.021660649819494587,,,,,0.021660649819494587
0.015564202334630352,0.010899182561307902,0.5314814814814814,opt-6.7b,0.027210884353741496,4-363-570-143,1_prompt,False,3,,,,,,,,,,,,,157,4,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,0,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,570,,,,,,,,,,,0.015564202334630352,,,,,,,,,0.015564202334630352,,,,,,0.015564202334630352,,,,,0.015564202334630352,,,,,0.015564202334630352
0.014869888475836432,0.011494252873563218,0.5092592592592593,opt-6.7b,0.021052631578947368,4-344-546-186,1_prompt,False,2,,,,,,,,,,,,,157,3,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,1,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,546,,,,,,,,,,,0.014869888475836432,,,,,,,,,0.014869888475836432,,,,,,0.014869888475836432,,,,,0.014869888475836432,,,,,0.014869888475836432
0.02075226977950713,0.0299625468164794,0.30092592592592593,opt-6.7b,0.015873015873015872,8-259-317-496,1_prompt,False,1,,,,,,,,,,,,,157,5,,,,,,,,,,,,,,,,,,,54,0,,,,,,,,,,,,,,,,,,,72,3,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,317,,,,,,,,,,,0.02075226977950713,,,,,,,,,0.02075226977950713,,,,,,0.02075226977950713,,,,,0.02075226977950713,,,,,0.02075226977950713
0.031047865459249684,0.04363636363636364,0.30648148148148147,opt-6.7b,0.024096385542168676,12-263-319-486,1_prompt,False,0,,,,,,,,,,,,,157,8,,,,,,,,,,,,,,,,,,,54,1,,,,,,,,,,,,,,,,,,,72,3,,,,,,,,,,,,,,,,,,,123,0,,,,,,,,,,,,,,,,,,,674,319,,,,,,,,,,,0.031047865459249684,,,,,,,,,0.031047865459249684,,,,,,0.031047865459249684,,,,,0.031047865459249684,,,,,0.031047865459249684
