f_score,recall,accuracy,model,precision,mets,prompt,img,shots,ent_met_person0_promptTrue,acc_met_person0_promptTrue,ent_met_person1_promptTrue,acc_met_person1_promptTrue,ent_met_person2_promptTrue,acc_met_person2_promptTrue,ent_met_person3_promptTrue,acc_met_person3_promptTrue,ent_met_person4_promptTrue,acc_met_person4_promptTrue,ent_met_person0_promptFalse,acc_met_person0_promptFalse,ent_met_person1_promptFalse,acc_met_person1_promptFalse,ent_met_person2_promptFalse,acc_met_person2_promptFalse,ent_met_person3_promptFalse,acc_met_person3_promptFalse,ent_met_person4_promptFalse,acc_met_person4_promptFalse,ent_met_misceallonous0_promptTrue,acc_met_misceallonous0_promptTrue,ent_met_misceallonous1_promptTrue,acc_met_misceallonous1_promptTrue,ent_met_misceallonous2_promptTrue,acc_met_misceallonous2_promptTrue,ent_met_misceallonous3_promptTrue,acc_met_misceallonous3_promptTrue,ent_met_misceallonous4_promptTrue,acc_met_misceallonous4_promptTrue,ent_met_misceallonous0_promptFalse,acc_met_misceallonous0_promptFalse,ent_met_misceallonous1_promptFalse,acc_met_misceallonous1_promptFalse,ent_met_misceallonous2_promptFalse,acc_met_misceallonous2_promptFalse,ent_met_misceallonous3_promptFalse,acc_met_misceallonous3_promptFalse,ent_met_misceallonous4_promptFalse,acc_met_misceallonous4_promptFalse,ent_met_organization0_promptTrue,acc_met_organization0_promptTrue,ent_met_organization1_promptTrue,acc_met_organization1_promptTrue,ent_met_organization2_promptTrue,acc_met_organization2_promptTrue,ent_met_organization3_promptTrue,acc_met_organization3_promptTrue,ent_met_organization4_promptTrue,acc_met_organization4_promptTrue,ent_met_organization0_promptFalse,acc_met_organization0_promptFalse,ent_met_organization1_promptFalse,acc_met_organization1_promptFalse,ent_met_organization2_promptFalse,acc_met_organization2_promptFalse,ent_met_organization3_promptFalse,acc_met_organization3_promptFalse,ent_met_organization4_promptFalse,acc_met_organization4_promptFalse,ent_met_location0_promptTrue,acc_met_location0_promptTrue,ent_met_location1_promptTrue,acc_met_location1_promptTrue,ent_met_location2_promptTrue,acc_met_location2_promptTrue,ent_met_location3_promptTrue,acc_met_location3_promptTrue,ent_met_location4_promptTrue,acc_met_location4_promptTrue,ent_met_location0_promptFalse,acc_met_location0_promptFalse,ent_met_location1_promptFalse,acc_met_location1_promptFalse,ent_met_location2_promptFalse,acc_met_location2_promptFalse,ent_met_location3_promptFalse,acc_met_location3_promptFalse,ent_met_location4_promptFalse,acc_met_location4_promptFalse,ent_met_none0_promptTrue,acc_met_none0_promptTrue,ent_met_none1_promptTrue,acc_met_none1_promptTrue,ent_met_none2_promptTrue,acc_met_none2_promptTrue,ent_met_none3_promptTrue,acc_met_none3_promptTrue,ent_met_none4_promptTrue,acc_met_none4_promptTrue,ent_met_none0_promptFalse,acc_met_none0_promptFalse,ent_met_none1_promptFalse,acc_met_none1_promptFalse,ent_met_none2_promptFalse,acc_met_none2_promptFalse,ent_met_none3_promptFalse,acc_met_none3_promptFalse,ent_met_none4_promptFalse,acc_met_none4_promptFalse,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse,f_score0_promptFalse,f_score0_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse
0.4990892531876139,0.5879828326180258,0.519650655021834,flan-t5-xl,0.43354430379746833,274-192-321-358,4_prompt,False,1,,,,,,,,,,,,,,,,,,,275,166,,,,,,,,,,,,,,,,,,,58,14,,,,,,,,,,,,,,,,,,,125,57,,,,,,,,,,,,,,,,,,,59,37,,,,,,,,,,,,,,,,,,,628,321,,0.4990892531876139,,,,,,0.4990892531876139,,,,,,,,,,0.4990892531876139,,,,,,,,,0.4990892531876139,,,,,,,,,,,,0.4990892531876139,,,
0.5120643431635389,0.3782178217821782,0.6820960698689956,flan-t5-xl,0.7925311203319502,191-314-590-50,4_prompt,False,0,,,,,,,,,,,,,,,,,,,275,132,,,,,,,,,,,,,,,,,,,58,2,,,,,,,,,,,,,,,,,,,125,33,,,,,,,,,,,,,,,,,,,59,24,,,,,,,,,,,,,,,,,,,628,590,,0.5120643431635389,,,,,,0.5120643431635389,,,,,,,,,,0.5120643431635389,,,,,,,,,0.5120643431635389,,,,,,,,,,,,0.5120643431635389,,,
0.40059568131049894,0.6183908045977011,0.29694323144104806,flan-t5-xl,0.29625550660792954,269-166-71-639,2_prompt,False,5,,,,,,,,,,,,,,,275,155,,,,,,,,,,,,,,,,,,,58,28,,,,,,,,,,,,,,,,,,,125,53,,,,,,,,,,,,,,,,,,,59,33,,,,,,,,,,,,,,,,,,,628,71,,,,,,,0.40059568131049894,,,,,,,0.40059568131049894,,,,,,,,,,0.40059568131049894,,,,,,,,0.40059568131049894,,,,,0.40059568131049894,,,,,,,0.40059568131049894,,
0.4440969507427678,0.6297117516629712,0.37903930131004365,flan-t5-xl,0.34299516908212563,284-167-150-544,2_prompt,False,4,,,,,,,,,,,,,,,275,165,,,,,,,,,,,,,,,,,,,58,25,,,,,,,,,,,,,,,,,,,125,59,,,,,,,,,,,,,,,,,,,59,35,,,,,,,,,,,,,,,,,,,628,150,,,,,,,0.4440969507427678,,,,,,,0.4440969507427678,,,,,,,,,,0.4440969507427678,,,,,,,,0.4440969507427678,,,,,0.4440969507427678,,,,,,,0.4440969507427678,,
0.4567803330689929,0.62882096069869,0.4017467248908297,flan-t5-xl,0.3586550435865504,288-170-172-515,2_prompt,False,3,,,,,,,,,,,,,,,275,163,,,,,,,,,,,,,,,,,,,58,25,,,,,,,,,,,,,,,,,,,125,63,,,,,,,,,,,,,,,,,,,59,37,,,,,,,,,,,,,,,,,,,628,172,,,,,,,0.4567803330689929,,,,,,,0.4567803330689929,,,,,,,,,,0.4567803330689929,,,,,,,,0.4567803330689929,,,,,0.4567803330689929,,,,,,,0.4567803330689929,,
0.4852941176470588,0.6400862068965517,0.4497816593886463,flan-t5-xl,0.3907894736842105,297-167-218-463,2_prompt,False,2,,,,,,,,,,,,,,,275,169,,,,,,,,,,,,,,,,,,,58,25,,,,,,,,,,,,,,,,,,,125,65,,,,,,,,,,,,,,,,,,,59,38,,,,,,,,,,,,,,,,,,,628,218,,,,,,,0.4852941176470588,,,,,,,0.4852941176470588,,,,,,,,,,0.4852941176470588,,,,,,,,0.4852941176470588,,,,,0.4852941176470588,,,,,,,0.4852941176470588,,
0.5181255526083113,0.6234042553191489,0.5240174672489083,flan-t5-xl,0.443267776096823,293-177-307-368,2_prompt,False,1,,,,,,,,,,,,,,,275,167,,,,,,,,,,,,,,,,,,,58,24,,,,,,,,,,,,,,,,,,,125,67,,,,,,,,,,,,,,,,,,,59,35,,,,,,,,,,,,,,,,,,,628,307,,,,,,,0.5181255526083113,,,,,,,0.5181255526083113,,,,,,,,,,0.5181255526083113,,,,,,,,0.5181255526083113,,,,,0.5181255526083113,,,,,,,0.5181255526083113,,
0.6155778894472361,0.48902195608782434,0.7327510917030567,flan-t5-xl,0.8305084745762712,245-256-594-50,2_prompt,False,0,,,,,,,,,,,,,,,275,186,,,,,,,,,,,,,,,,,,,58,0,,,,,,,,,,,,,,,,,,,125,31,,,,,,,,,,,,,,,,,,,59,28,,,,,,,,,,,,,,,,,,,628,594,,,,,,,0.6155778894472361,,,,,,,0.6155778894472361,,,,,,,,,,0.6155778894472361,,,,,,,,0.6155778894472361,,,,,0.6155778894472361,,,,,,,0.6155778894472361,,
0.42952029520295204,0.6353711790393013,0.32489082969432315,flan-t5-xl,0.32441471571906355,291-167-81-606,3_prompt,False,5,,,,,,,,,,,,,,,,,275,171,,,,,,,,,,,,,,,,,,,58,29,,,,,,,,,,,,,,,,,,,125,53,,,,,,,,,,,,,,,,,,,59,38,,,,,,,,,,,,,,,,,,,628,81,,,,,,0.42952029520295204,,,,,,,,0.42952029520295204,,,,,,,,,,0.42952029520295204,,,,,,,0.42952029520295204,,,,,,,,,,,,0.42952029520295204,
0.43554260742898765,0.6443965517241379,0.3231441048034934,flan-t5-xl,0.32893289328932895,299-165-71-610,3_prompt,False,4,,,,,,,,,,,,,,,,,275,172,,,,,,,,,,,,,,,,,,,58,28,,,,,,,,,,,,,,,,,,,125,59,,,,,,,,,,,,,,,,,,,59,40,,,,,,,,,,,,,,,,,,,628,71,,,,,,0.43554260742898765,,,,,,,,0.43554260742898765,,,,,,,,,,0.43554260742898765,,,,,,,0.43554260742898765,,,,,,,,,,,,0.43554260742898765,
0.4720692368214005,0.6382978723404256,0.41397379912663756,flan-t5-xl,0.37453183520599254,300-170-174-501,3_prompt,False,3,,,,,,,,,,,,,,,,,275,169,,,,,,,,,,,,,,,,,,,58,28,,,,,,,,,,,,,,,,,,,125,64,,,,,,,,,,,,,,,,,,,59,39,,,,,,,,,,,,,,,,,,,628,174,,,,,,0.4720692368214005,,,,,,,,0.4720692368214005,,,,,,,,,,0.4720692368214005,,,,,,,0.4720692368214005,,,,,,,,,,,,0.4720692368214005,
0.49319455564451553,0.6553191489361702,0.44716157205240176,flan-t5-xl,0.39537869062901154,308-162-204-471,3_prompt,False,2,,,,,,,,,,,,,,,,,275,173,,,,,,,,,,,,,,,,,,,58,27,,,,,,,,,,,,,,,,,,,125,69,,,,,,,,,,,,,,,,,,,59,39,,,,,,,,,,,,,,,,,,,628,204,,,,,,0.49319455564451553,,,,,,,,0.49319455564451553,,,,,,,,,,0.49319455564451553,,,,,,,0.49319455564451553,,,,,,,,,,,,0.49319455564451553,
0.5024875621890548,0.6474358974358975,0.4759825327510917,flan-t5-xl,0.4105691056910569,303-165-242-435,3_prompt,False,1,,,,,,,,,,,,,,,,,275,171,,,,,,,,,,,,,,,,,,,58,25,,,,,,,,,,,,,,,,,,,125,69,,,,,,,,,,,,,,,,,,,59,38,,,,,,,,,,,,,,,,,,,628,242,,,,,,0.5024875621890548,,,,,,,,0.5024875621890548,,,,,,,,,,0.5024875621890548,,,,,,,0.5024875621890548,,,,,,,,,,,,0.5024875621890548,
0.6077481840193705,0.4990059642147117,0.7170305676855895,flan-t5-xl,0.7770897832817337,251-252-570-72,3_prompt,False,0,,,,,,,,,,,,,,,,,275,175,,,,,,,,,,,,,,,,,,,58,1,,,,,,,,,,,,,,,,,,,125,44,,,,,,,,,,,,,,,,,,,59,31,,,,,,,,,,,,,,,,,,,628,570,,,,,,0.6077481840193705,,,,,,,,0.6077481840193705,,,,,,,,,,0.6077481840193705,,,,,,,0.6077481840193705,,,,,,,,,,,,0.6077481840193705,
0.40781249999999997,0.5852017937219731,0.33799126637554583,flan-t5-xl,0.3129496402877698,261-185-126-573,1_prompt,False,5,,,,,,,,,,,,,275,157,,,,,,,,,,,,,,,,,,,58,23,,,,,,,,,,,,,,,,,,,125,49,,,,,,,,,,,,,,,,,,,59,32,,,,,,,,,,,,,,,,,,,628,126,,,,,,,,,,,0.40781249999999997,,,,,,,,,0.40781249999999997,,,,,,,,,,0.40781249999999997,,,,,,0.40781249999999997,,,,,,0.40781249999999997,,,,,,0.40781249999999997
0.4152410575427683,0.6027088036117382,0.34323144104803494,flan-t5-xl,0.3167259786476868,267-176-126-576,1_prompt,False,4,,,,,,,,,,,,,275,158,,,,,,,,,,,,,,,,,,,58,22,,,,,,,,,,,,,,,,,,,125,55,,,,,,,,,,,,,,,,,,,59,32,,,,,,,,,,,,,,,,,,,628,126,,,,,,,,,,,0.4152410575427683,,,,,,,,,0.4152410575427683,,,,,,,,,,0.4152410575427683,,,,,,0.4152410575427683,,,,,,0.4152410575427683,,,,,,0.4152410575427683
0.44741235392320533,0.5916114790286976,0.4218340611353712,flan-t5-xl,0.3597315436241611,268-185-215-477,1_prompt,False,3,,,,,,,,,,,,,275,157,,,,,,,,,,,,,,,,,,,58,18,,,,,,,,,,,,,,,,,,,125,56,,,,,,,,,,,,,,,,,,,59,37,,,,,,,,,,,,,,,,,,,628,215,,,,,,,,,,,0.44741235392320533,,,,,,,,,0.44741235392320533,,,,,,,,,,0.44741235392320533,,,,,,0.44741235392320533,,,,,,0.44741235392320533,,,,,,0.44741235392320533
0.4863436123348018,0.6,0.4908296943231441,flan-t5-xl,0.4088888888888889,276-184-286-399,1_prompt,False,2,,,,,,,,,,,,,275,164,,,,,,,,,,,,,,,,,,,58,18,,,,,,,,,,,,,,,,,,,125,59,,,,,,,,,,,,,,,,,,,59,35,,,,,,,,,,,,,,,,,,,628,286,,,,,,,,,,,0.4863436123348018,,,,,,,,,0.4863436123348018,,,,,,,,,,0.4863436123348018,,,,,,0.4863436123348018,,,,,,0.4863436123348018,,,,,,0.4863436123348018
0.5159420289855072,0.5680851063829787,0.5624454148471616,flan-t5-xl,0.4725663716814159,267-203-377-298,1_prompt,False,1,,,,,,,,,,,,,275,161,,,,,,,,,,,,,,,,,,,58,16,,,,,,,,,,,,,,,,,,,125,58,,,,,,,,,,,,,,,,,,,59,32,,,,,,,,,,,,,,,,,,,628,377,,,,,,,,,,,0.5159420289855072,,,,,,,,,0.5159420289855072,,,,,,,,,,0.5159420289855072,,,,,,0.5159420289855072,,,,,,0.5159420289855072,,,,,,0.5159420289855072
0.5392022008253095,0.3843137254901961,0.7074235807860262,flan-t5-xl,0.9032258064516129,196-314-614-21,1_prompt,False,0,,,,,,,,,,,,,275,152,,,,,,,,,,,,,,,,,,,58,0,,,,,,,,,,,,,,,,,,,125,17,,,,,,,,,,,,,,,,,,,59,27,,,,,,,,,,,,,,,,,,,628,614,,,,,,,,,,,0.5392022008253095,,,,,,,,,0.5392022008253095,,,,,,,,,,0.5392022008253095,,,,,,0.5392022008253095,,,,,,0.5392022008253095,,,,,,0.5392022008253095
