f_score,recall,accuracy,model,precision,mets,prompt,img,shots,ent_met_person,acc_met_person,ent_met_misceallonous,acc_met_misceallonous,ent_met_organization,acc_met_organization,ent_met_location,acc_met_location,ent_met_none,acc_met_none,f_score0_promptFalse,f_score4_promptFalse,f_score2_promptFalse,f_score3_promptFalse,f_score1_promptFalse
0.43081312410841655,0.5490909090909091,0.3432098765432099,flan-t5-xl,0.3544600938967136,302-248-115-550,0_prompt,False,5,,,,,,,,,,,0.43081312410841655,,,,
0.42622950819672134,0.5456204379562044,0.3374485596707819,flan-t5-xl,0.3497076023391813,299-249-111-556,0_prompt,False,4,,,,,,,,,,,0.42622950819672134,,,,
0.43458980044345896,0.5345454545454545,0.37037037037037035,flan-t5-xl,0.36612702366127026,294-256-156-509,0_prompt,False,3,,,,,,,,,,,0.43458980044345896,,,,
0.46084337349397586,0.5583941605839416,0.41069958847736626,flan-t5-xl,0.3923076923076923,306-242-193-474,0_prompt,False,2,,,,,,,,,,,0.46084337349397586,,,,
0.4558938329430132,0.5318761384335154,0.42633744855967076,flan-t5-xl,0.3989071038251366,292-257-226-440,0_prompt,False,1,,,,,,,,,,,0.4558938329430132,,,,
0.5556631171345595,0.49653979238754326,0.6222222222222222,flan-t5-xl,0.6307692307692307,287-291-469-168,0_prompt,False,0,,,,,,,,,,,0.5556631171345595,,,,
0.413075780089153,0.5082266910420475,0.3497942386831276,flan-t5-xl,0.3479349186483104,278-269-147-521,4_prompt,False,5,,,,,,,,,,,,0.413075780089153,,,
0.417391304347826,0.4808743169398907,0.3934156378600823,flan-t5-xl,0.3687150837988827,264-285-214-452,4_prompt,False,4,,,,,,,,,,,,0.417391304347826,,,
0.42685851318944845,0.48990825688073397,0.40987654320987654,flan-t5-xl,0.3781869688385269,267-278-231-439,4_prompt,False,3,,,,,,,,,,,,0.42685851318944845,,,
0.4736387208297321,0.49547920433996384,0.49876543209876545,flan-t5-xl,0.45364238410596025,274-279-332-330,4_prompt,False,2,,,,,,,,,,,,0.4736387208297321,,,
0.5,0.4720720720720721,0.568724279835391,flan-t5-xl,0.5314401622718052,262-293-429-231,4_prompt,False,1,,,,,,,,,,,,0.5,,,
0.4764207980652963,0.3408304498269896,0.6436213991769547,flan-t5-xl,0.7911646586345381,197-381-585-52,4_prompt,False,0,,,,,,,,,,,,0.4764207980652963,,,
0.42049736247174074,0.5054347826086957,0.36707818930041153,flan-t5-xl,0.36,279-273-167-496,2_prompt,False,5,,,,,,,,,,,,,0.42049736247174074,,
0.41679873217115687,0.4755877034358047,0.39423868312757204,flan-t5-xl,0.3709449929478138,263-290-216-446,2_prompt,False,4,,,,,,,,,,,,,0.41679873217115687,,
0.44557823129251706,0.4746376811594203,0.4633744855967078,flan-t5-xl,0.4198717948717949,262-290-301-362,2_prompt,False,3,,,,,,,,,,,,,0.44557823129251706,,
0.4555461473327688,0.4908759124087591,0.4707818930041152,flan-t5-xl,0.42496050552922593,269-279-303-364,2_prompt,False,2,,,,,,,,,,,,,0.4555461473327688,,
0.45346869712351945,0.4855072463768116,0.4683127572016461,flan-t5-xl,0.4253968253968254,268-284-301-362,2_prompt,False,1,,,,,,,,,,,,,0.45346869712351945,,
0.5596432552954292,0.4305317324185249,0.6748971193415638,flan-t5-xl,0.7993630573248408,251-332-569-63,2_prompt,False,0,,,,,,,,,,,,,0.5596432552954292,,
0.4335965541995693,0.5490909090909091,0.3506172839506173,flan-t5-xl,0.3582443653618031,302-248-124-541,3_prompt,False,5,,,,,,,,,,,,,,0.4335965541995693,
0.44942084942084937,0.5243243243243243,0.41316872427983536,flan-t5-xl,0.3932432432432432,291-264-211-449,3_prompt,False,4,,,,,,,,,,,,,,0.44942084942084937,
0.4701195219123506,0.5344202898550725,0.45267489711934156,flan-t5-xl,0.41963015647226176,295-257-255-408,3_prompt,False,3,,,,,,,,,,,,,,0.4701195219123506,
0.4659890539483972,0.5350089766606823,0.4378600823045268,flan-t5-xl,0.41274238227146814,298-259-234-424,3_prompt,False,2,,,,,,,,,,,,,,0.4659890539483972,
0.5030250648228176,0.5177935943060499,0.5267489711934157,flan-t5-xl,0.4890756302521008,291-271-349-304,3_prompt,False,1,,,,,,,,,,,,,,0.5030250648228176,
0.5612903225806452,0.45077720207253885,0.6641975308641975,flan-t5-xl,0.7435897435897436,261-318-546-90,3_prompt,False,0,,,,,,,,,,,,,,0.5612903225806452,
0.3885630498533725,0.49165120593692024,0.3135802469135803,flan-t5-xl,0.3212121212121212,265-274-116-560,1_prompt,False,5,,,,,,,,,,,,,,,0.3885630498533725
0.40720438527799524,0.47619047619047616,0.37695473251028805,flan-t5-xl,0.35567715458276333,260-286-198-471,1_prompt,False,4,,,,,,,,,,,,,,,0.40720438527799524
0.41379310344827586,0.4489051094890511,0.42633744855967076,flan-t5-xl,0.3837753510140406,246-302-272-395,1_prompt,False,3,,,,,,,,,,,,,,,0.41379310344827586
0.43260694108151737,0.48816029143898,0.4213991769547325,flan-t5-xl,0.3884057971014493,268-281-244-422,1_prompt,False,2,,,,,,,,,,,,,,,0.43260694108151737
0.4801587301587302,0.4306049822064057,0.568724279835391,flan-t5-xl,0.5426008968609866,242-320-449-204,1_prompt,False,1,,,,,,,,,,,,,,,0.4801587301587302
0.4951923076923077,0.3576388888888889,0.654320987654321,flan-t5-xl,0.8046875,206-370-589-50,1_prompt,False,0,,,,,,,,,,,,,,,0.4951923076923077
