f_score,recall,accuracy,model,precision,mets,prompt,img,shots,ent_met_person,acc_met_person,ent_met_misceallonous,acc_met_misceallonous,ent_met_organization,acc_met_organization,ent_met_location,acc_met_location,ent_met_none,acc_met_none,f_score0_promptFalse,f_score0_promptTrue,f_score4_promptFalse,f_score4_promptTrue,f_score2_promptFalse,f_score2_promptTrue,f_score3_promptFalse,f_score3_promptTrue,f_score1_promptFalse,f_score1_promptTrue
0.426610348468849,0.6139817629179332,0.49722222222222223,blip2-flan-t5-xxl,0.3268608414239482,202-127-335-416,0_prompt,False,5,,,,,,,,,,,0.426610348468849,,,,,,,,,
0.41226215644820297,0.6074766355140186,0.48518518518518516,blip2-flan-t5-xxl,0.312,195-126-329-430,0_prompt,False,4,,,,,,,,,,,0.41226215644820297,,,,,,,,,
0.40924092409240925,0.5758513931888545,0.5027777777777778,blip2-flan-t5-xxl,0.3174061433447099,186-137-357-400,0_prompt,False,3,,,,,,,,,,,0.40924092409240925,,,,,,,,,
0.3614457831325301,0.5709342560553633,0.4601851851851852,blip2-flan-t5-xxl,0.2644230769230769,165-124-332-459,0_prompt,False,2,,,,,,,,,,,0.3614457831325301,,,,,,,,,
0.37649619151251357,0.5884353741496599,0.46944444444444444,blip2-flan-t5-xxl,0.2768,173-121-334-452,0_prompt,False,1,,,,,,,,,,,0.37649619151251357,,,,,,,,,
0.39801980198019804,0.6568627450980392,0.43703703703703706,blip2-flan-t5-xxl,0.28551136363636365,201-105-271-503,0_prompt,False,0,,,,,,,,,,,0.39801980198019804,,,,,,,,,
0.4373673036093418,0.6094674556213018,0.5092592592592593,blip2-flan-t5-xxl,0.34105960264900664,206-132-344-398,0_prompt,True,5,,,,,,,,,,,,0.4373673036093418,,,,,,,,
0.41777777777777775,0.5749235474006116,0.5148148148148148,blip2-flan-t5-xxl,0.32809773123909247,188-139-368-385,0_prompt,True,4,,,,,,,,,,,,0.41777777777777775,,,,,,,,
0.41409691629955947,0.5749235474006116,0.5074074074074074,blip2-flan-t5-xxl,0.32358003442340794,188-139-360-393,0_prompt,True,3,,,,,,,,,,,,0.41409691629955947,,,,,,,,
0.3752808988764045,0.5439739413680782,0.48518518518518516,blip2-flan-t5-xxl,0.2864493996569468,167-140-357-416,0_prompt,True,2,,,,,,,,,,,,0.3752808988764045,,,,,,,,
0.38278595696489237,0.5671140939597316,0.49537037037037035,blip2-flan-t5-xxl,0.28888888888888886,169-129-366-416,0_prompt,True,1,,,,,,,,,,,,0.38278595696489237,,,,,,,,
0.4070450097847358,0.6887417218543046,0.4388888888888889,blip2-flan-t5-xxl,0.28888888888888886,208-94-266-512,0_prompt,True,0,,,,,,,,,,,,0.4070450097847358,,,,,,,,
0.47361963190184053,0.5132978723404256,0.6027777777777777,blip2-flan-t5-xxl,0.4396355353075171,193-183-458-246,4_prompt,False,5,,,,,,,,,,,,,0.47361963190184053,,,,,,,
0.483271375464684,0.5227882037533512,0.6138888888888889,blip2-flan-t5-xxl,0.44930875576036866,195-178-468-239,4_prompt,False,4,,,,,,,,,,,,,0.483271375464684,,,,,,,
0.4875621890547264,0.5254691689008043,0.6185185185185185,blip2-flan-t5-xxl,0.4547563805104408,196-177-472-235,4_prompt,False,3,,,,,,,,,,,,,0.4875621890547264,,,,,,,
0.5124183006535947,0.519893899204244,0.6546296296296297,blip2-flan-t5-xxl,0.5051546391752577,196-181-511-192,4_prompt,False,2,,,,,,,,,,,,,0.5124183006535947,,,,,,,
0.5624142661179697,0.5408970976253298,0.7046296296296296,blip2-flan-t5-xxl,0.5857142857142857,205-174-556-145,4_prompt,False,1,,,,,,,,,,,,,0.5624142661179697,,,,,,,
0.5995145631067962,0.6569148936170213,0.6944444444444444,blip2-flan-t5-xxl,0.5513392857142857,247-129-503-201,4_prompt,False,0,,,,,,,,,,,,,0.5995145631067962,,,,,,,
0.48329048843187666,0.49214659685863876,0.6277777777777778,blip2-flan-t5-xxl,0.47474747474747475,188-194-490-208,4_prompt,True,5,,,,,,,,,,,,,,0.48329048843187666,,,,,,
0.49624060150375937,0.515625,0.6277777777777778,blip2-flan-t5-xxl,0.4782608695652174,198-186-480-216,4_prompt,True,4,,,,,,,,,,,,,,0.49624060150375937,,,,,,
0.49705882352941183,0.4401041666666667,0.6833333333333333,blip2-flan-t5-xxl,0.5709459459459459,169-215-569-127,4_prompt,True,3,,,,,,,,,,,,,,0.49705882352941183,,,,,,
