,False_0,False_1,False_2,False_3,False_4,False_5,False_6,False_7,False_8,prompt
opt-2.7b,0.03278688524590164,0.1782178217821782,0.17357910906298005,0.1728582259287339,0.16207951070336393,0.16457680250783696,0.1610305958132045,0.16046319272125723,0.15807560137457044,1
opt-2.7b,0.043478260869565216,0.18225806451612903,0.18527315914489315,0.16894609814963796,0.18326693227091634,0.1746160064672595,0.16762530813475762,0.1670761670761671,0.1627906976744186,2
opt-2.7b,0.05707762557077625,0.15717722534081796,0.16152019002375295,0.15903614457831325,0.18052256532066507,0.1711057304277643,0.16198347107438016,0.15920398009950248,0.15269709543568466,3
opt-2.7b,0.054570259208731244,0.17092651757188498,0.17129262490087233,0.17729393468118199,0.18209876543209874,0.16773162939297123,0.16816326530612244,0.17723577235772353,0.16387959866220733,4
opt-2.7b,0.0254957507082153,0.17828200972447325,0.18459069020866772,0.16760676873489122,0.17767295597484276,0.17321571772253408,0.1687344913151365,0.17986798679867988,0.17157275021026072,5
blip2-flan-t5-xxl,0.4132841328413284,0.35807860262008734,0.37307973664959765,0.39329934450109255,0.413391557496361,0.419047619047619,0.4357459379615953,0.4070536370315944,0.43884358784284655,1
blip2-flan-t5-xxl,0.5134883720930232,0.5477338476374155,0.5433746425166825,0.5519779208831647,0.544959128065395,0.5580969807868251,0.5639165911151405,0.5548387096774193,0.5622710622710623,2
blip2-flan-t5-xxl,0.48653061224489796,0.5004035512510088,0.5107438016528926,0.5104732350659427,0.5092307692307693,0.5076219512195123,0.5208655332302936,0.5127413127413127,0.5158791634391945,3
blip2-flan-t5-xxl,0.4696485623003194,0.496875,0.5019984012789769,0.508653122648608,0.5038051750380517,0.4973544973544973,0.5022831050228311,0.49731389102072143,0.49539877300613494,4
blip2-flan-t5-xxl,0.4729493891797557,0.491554054054054,0.4978759558198811,0.5081433224755699,0.5044751830756713,0.5078060805258834,0.5069501226492232,0.5187032418952617,0.5086419753086421,5
blip2-flan-t5-xl,0.4989293361884368,0.5036269430051813,0.5108481262327416,0.5285575992255566,0.5324298160696999,0.5422740524781341,0.5334645669291339,0.542110358180058,0.5349065880039332,1
blip2-flan-t5-xl,0.41102181400688864,0.5034168564920273,0.49667405764966743,0.5412026726057907,0.5408388520971303,0.5292171995589857,0.5174353205849269,0.5318681318681319,0.5225225225225224,2
blip2-flan-t5-xl,0.43823845327604727,0.5148936170212766,0.5240083507306889,0.5635808748728383,0.5684860968074151,0.5532786885245901,0.5626283367556468,0.5519348268839105,0.5552115583075337,3
blip2-flan-t5-xl,0.5285087719298246,0.5240641711229945,0.5311542390194075,0.5601617795753286,0.5604060913705584,0.558091286307054,0.5584826132771339,0.5555555555555555,0.5572033898305085,4
blip2-flan-t5-xl,0.3530927835051546,0.43113772455089827,0.482598607888631,0.5204545454545455,0.5175141242937854,0.496,0.4982778415614237,0.5119453924914675,0.4867358708189158,5
bert-large-uncased-whole-word-masking-squad2,0.05914567360350493,NA,NA,NA,NA,NA,NA,NA,NA,1
bert-large-uncased-whole-word-masking-squad2,0.08574091332712024,NA,NA,NA,NA,NA,NA,NA,NA,2
bert-large-uncased-whole-word-masking-squad2,0.07692307692307693,NA,NA,NA,NA,NA,NA,NA,NA,3
bert-large-uncased-whole-word-masking-squad2,0.08437200383509108,NA,NA,NA,NA,NA,NA,NA,NA,4
bert-large-uncased-whole-word-masking-squad2,0.1091581868640148,NA,NA,NA,NA,NA,NA,NA,NA,5
mplug-owl-llama-7b-ft,0.2832214765100671,0.21721311475409832,0.23447401774397972,0.25395152792413067,0.24470831182240582,0.23084479371316308,0.23111919927206553,0.23148602256007847,0.23353573096683794,1
mplug-owl-llama-7b-ft,0.26884226884226886,0.20067796610169492,0.2411252511721366,0.24152803450400498,0.2470997679814385,0.24985337243401765,0.2532504239683437,0.2539312754804892,0.25376593279258397,2
mplug-owl-llama-7b-ft,0.22641509433962265,0.1715076071922545,0.2245989304812834,0.21755253399258342,0.224,0.22937853107344636,0.2297965915338098,0.23635340461451884,0.2358916478555305,3
mplug-owl-llama-7b-ft,0.27241139680333565,0.2332670642809808,0.24364820846905536,0.2671840354767184,0.25748817656332107,0.255863539445629,0.25127161749745675,0.2572482867685819,0.2667369530838165,4
mplug-owl-llama-7b-ft,0.28529411764705886,0.228,0.24437299035369775,0.2579881656804734,0.25280898876404495,0.24245810055865924,0.23593073593073594,0.25280898876404495,0.2610188895248999,5
flan-t5-xl,0.530426884650318,0.4837117472852912,0.504297994269341,0.5185873605947956,0.5511520737327189,0.5399449035812671,0.5313653136531366,0.5343092406221409,0.5300092336103416,1
flan-t5-xl,0.4790011350737798,0.47661469933184863,0.4889380530973451,0.5144124168514412,0.5252747252747253,0.533769063180828,0.5384615384615384,0.5362162162162162,0.5394736842105263,2
flan-t5-xl,0.5279503105590062,0.4821428571428571,0.5066394279877426,0.5321100917431193,0.5430327868852459,0.5479999999999999,0.5566801619433198,0.5532338308457712,0.5507537688442211,3
flan-t5-xl,0.5500982318271119,0.5188866799204772,0.5185185185185185,0.5519922254616132,0.5585054080629303,0.5551257253384912,0.5731225296442688,0.558139534883721,0.5611940298507463,4
flan-t5-xl,0.46899661781285223,0.3995354239256678,0.47661469933184863,0.5142857142857143,0.5190839694656488,0.49889624724061815,0.513781697905182,0.5092091007583964,0.5054945054945056,5
llama-7b-hf,0.24900662251655625,0.19393939393939394,0.21486486486486484,0.221881390593047,0.2335297268344938,0.24098977945131791,0.23866597186034397,0.23682781097229766,0.2393162393162393,1
llama-7b-hf,0.1611154144074361,0.1863605671843349,0.1946169772256729,0.191713048855906,0.21163366336633666,0.21682242990654205,0.22867737948084052,0.22515723270440252,0.23144654088050312,2
